Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),94.88,77.56,189.49,2846.35,78.08,80.11,81.17,83.87,90.11,96.60,104.21,126.68,173.79,20.93
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.20,172.00,315.00,7686.00,184.47,215.90,220.60,237.50,256.50,273.50,294.00,303.55,311.81,29.39
HTTP Chunks Sent,1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.23,0.21,0.27,6.99,0.22,0.22,0.22,0.22,0.23,0.24,0.25,0.27,0.27,0.02
HTTP Connection Overhead (ms),0.23,0.21,0.27,6.99,0.22,0.22,0.22,0.22,0.23,0.24,0.25,0.27,0.27,0.02
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),125.47,73.22,127.57,3763.98,88.19,125.57,127.12,127.31,127.39,127.44,127.47,127.50,127.55,9.71
HTTP Data Sent (KB),2.36,2.11,2.57,70.82,2.16,2.28,2.31,2.32,2.34,2.39,2.47,2.51,2.55,0.08
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),5564.58,2701.95,6601.65,166937.33,3015.50,4065.07,4919.80,5300.21,5682.16,6104.74,6307.91,6392.17,6558.27,795.61
HTTP Receiving (ms),5207.50,2362.01,6244.35,156225.12,2673.99,3721.68,4563.09,4933.23,5328.00,5744.45,5948.88,6032.30,6199.89,791.47
HTTP Sending (ms),0.34,0.31,0.39,10.10,0.31,0.31,0.32,0.32,0.33,0.34,0.37,0.38,0.39,0.02
HTTP Total Time (ms),5564.81,2702.23,6601.88,166944.32,3015.76,4065.33,4920.02,5300.45,5682.40,6104.98,6308.13,6392.40,6558.50,795.60
HTTP Waiting (TTFB) (ms),356.74,335.54,389.93,10702.10,336.70,340.03,343.41,350.57,358.00,360.27,364.66,374.12,385.90,10.60
Input Sequence Length (tokens),512.00,512.00,512.00,15360.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),10.35,0.00,97.26,156223.05,0.00,0.00,0.00,0.00,0.01,29.81,30.44,30.79,33.01,14.40
Inter Token Latency (ms),10.19,4.62,12.22,305.72,5.23,7.28,8.93,9.65,10.43,11.24,11.64,11.80,12.13,1.55
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),512.00,512.00,512.00,15360.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Output Token Count (tokens),512.00,512.00,512.00,15360.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Output Token Throughput Per User (tokens/sec/user),101.74,81.84,216.35,3052.17,82.43,84.72,85.90,88.96,95.91,103.59,112.15,138.27,196.71,24.99
Prefill Throughput Per User (tokens/sec/user),1434.92,1311.77,1524.18,43047.65,1325.85,1367.25,1402.65,1419.42,1428.73,1458.88,1489.32,1503.78,1518.87,41.92
Request Latency (ms),5564.56,2701.96,6601.61,166936.74,3015.52,4065.11,4919.84,5300.16,5682.15,6104.71,6307.88,6392.17,6558.23,795.60
Time to First Output Token (ms),357.12,335.92,390.31,10713.69,337.10,340.48,343.78,350.96,358.36,360.71,365.04,374.49,386.27,10.59
Time to First Token (ms),357.12,335.92,390.31,10713.69,337.10,340.48,343.78,350.96,358.36,360.71,365.04,374.49,386.27,10.59
Time to Second Token (ms),33.98,28.48,94.46,1019.54,28.50,28.75,29.09,31.95,32.40,32.95,33.14,33.33,76.76,11.32

Metric,Value
Benchmark Duration (sec),167.04
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),91.95
Request Count,30.00
Request Throughput (requests/sec),0.18
Total Input Sequence Length (tokens),15360.00
Total Output Sequence Length (tokens),15360.00
Total Output Tokens (tokens),15360.00
Total Token Throughput (tokens/sec),183.90


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
