Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),64.80,64.65,65.10,324.02,64.65,64.66,64.68,64.72,64.77,64.78,64.98,65.04,65.09,0.16
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,12258.20,12133.00,12290.00,61291.00,12139.24,12164.20,12195.40,12289.00,12289.00,12290.00,12290.00,12290.00,12290.00,62.60
HTTP Chunks Sent,1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.47,0.36,0.65,2.33,0.36,0.37,0.38,0.42,0.44,0.46,0.57,0.61,0.64,0.10
HTTP Connection Overhead (ms),0.56,0.36,0.94,2.80,0.36,0.37,0.39,0.44,0.46,0.60,0.81,0.87,0.93,0.21
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),2936.93,2904.31,2955.23,14684.67,2905.53,2910.43,2916.56,2934.93,2944.66,2945.54,2951.36,2953.29,2954.85,17.53
HTTP Data Sent (KB),51.77,49.32,53.11,258.87,49.41,49.77,50.22,51.57,51.82,53.05,53.08,53.09,53.10,1.37
HTTP DNS Lookup (ms),0.10,0.00,0.30,0.48,0.00,0.00,0.00,0.00,0.00,0.18,0.25,0.27,0.29,0.12
HTTP Duration (excl. conn) (ms),189617.90,188742.70,190080.05,948089.52,188780.26,188930.50,189118.30,189681.69,189721.12,189863.96,189993.62,190036.83,190071.41,459.31
HTTP Receiving (ms),185623.80,185492.20,185894.72,928119.02,185492.72,185494.78,185497.36,185505.08,185505.33,185721.69,185825.51,185860.12,185887.80,160.27
HTTP Sending (ms),0.64,0.55,0.80,3.21,0.55,0.55,0.55,0.56,0.64,0.67,0.75,0.77,0.79,0.09
HTTP Total Time (ms),189618.47,188743.06,190080.52,948092.33,188780.64,188930.97,189118.89,189682.63,189721.56,189864.56,189994.13,190037.32,190071.88,459.38
HTTP Waiting (TTFB) (ms),3993.46,3249.95,4215.40,19967.29,3285.62,3428.30,3606.65,4141.71,4175.56,4184.67,4203.11,4209.25,4214.17,372.50
Input Sequence Length (tokens),12288.00,12288.00,12288.00,61440.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,0.00
Inter Chunk Latency (ms),15.15,3.24,47.23,928117.52,14.59,14.68,14.75,14.90,15.07,15.27,15.45,15.59,16.34,1.14
Inter Token Latency (ms),15.11,15.10,15.13,75.54,15.10,15.10,15.10,15.10,15.10,15.12,15.12,15.13,15.13,0.01
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),12288.00,12288.00,12288.00,61440.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,0.00
Output Token Count (tokens),12288.00,12288.00,12288.00,61440.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,12288.00,0.00
Output Token Throughput Per User (tokens/sec/user),66.19,66.10,66.24,330.97,66.10,66.11,66.12,66.16,66.24,66.24,66.24,66.24,66.24,0.06
Prefill Throughput Per User (tokens/sec/user),3107.87,2914.52,3780.25,15539.35,2915.37,2918.80,2923.08,2935.91,2942.22,2966.45,3454.73,3617.49,3747.70,336.60
Request Latency (ms),189617.68,188742.59,190079.84,948088.40,188780.14,188930.34,189118.09,189681.34,189720.85,189863.78,189993.42,190036.63,190071.20,459.27
Time to First Output Token (ms),3994.18,3250.58,4216.13,19970.88,3286.25,3428.93,3607.28,4142.32,4176.44,4185.41,4203.84,4209.99,4214.91,372.54
Time to First Token (ms),3994.18,3250.58,4216.13,19970.88,3286.25,3428.93,3607.28,4142.32,4176.44,4185.41,4203.84,4209.99,4214.91,372.54
Time to Second Token (ms),16.43,15.93,17.23,82.17,15.94,15.95,15.96,16.01,16.40,16.59,16.97,17.10,17.21,0.47

Metric,Value
Benchmark Duration (sec),948.37
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),64.78
Request Count,5.00
Request Throughput (requests/sec),0.01
Total Input Sequence Length (tokens),61440.00
Total Output Sequence Length (tokens),61440.00
Total Output Tokens (tokens),61440.00
Total Token Throughput (tokens/sec),129.57


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
