Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),98.51,83.87,162.13,2955.31,84.20,85.25,88.11,89.94,96.48,100.92,105.86,114.07,148.34,13.99
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,337.77,245.00,475.00,10133.00,252.25,272.70,283.20,311.50,329.50,351.50,409.90,429.55,464.56,49.60
HTTP Chunks Sent,1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.23,0.21,0.34,7.00,0.21,0.21,0.21,0.22,0.23,0.24,0.25,0.28,0.33,0.03
HTTP Connection Overhead (ms),0.23,0.21,0.34,7.00,0.21,0.21,0.21,0.22,0.23,0.24,0.25,0.28,0.33,0.03
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),123.49,72.07,125.56,3704.72,86.80,123.59,125.11,125.30,125.38,125.44,125.47,125.53,125.56,9.56
HTTP Data Sent (KB),2.36,2.11,2.56,70.70,2.16,2.28,2.30,2.32,2.34,2.39,2.46,2.51,2.55,0.08
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),5275.19,3157.97,6104.84,158255.72,3538.12,4488.42,4839.36,5073.69,5306.74,5692.71,5811.23,6006.21,6081.15,563.96
HTTP Receiving (ms),4933.33,2809.30,5767.70,148000.03,3186.35,4143.76,4487.16,4739.04,4964.44,5352.46,5470.92,5658.96,5743.27,566.43
HTTP Sending (ms),0.34,0.31,0.49,10.20,0.31,0.31,0.31,0.32,0.33,0.34,0.38,0.42,0.47,0.04
HTTP Total Time (ms),5275.42,3158.18,6105.07,158262.72,3538.34,4488.67,4839.58,5073.90,5306.96,5692.94,5811.46,6006.44,6081.38,563.96
HTTP Waiting (TTFB) (ms),341.52,317.61,365.35,10245.48,319.13,323.31,324.45,330.32,341.25,348.13,359.08,361.67,364.74,12.77
Input Sequence Length (tokens),512.00,512.00,512.00,15360.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),9.80,0.00,78.70,147997.63,0.00,0.00,0.00,0.00,0.02,26.71,29.09,29.86,31.91,13.46
Inter Token Latency (ms),9.65,5.50,11.29,289.62,6.24,8.11,8.78,9.27,9.71,10.47,10.71,11.07,11.24,1.11
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),512.00,512.00,512.00,15360.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Output Token Count (tokens),512.00,512.00,512.00,15360.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Output Token Throughput Per User (tokens/sec/user),105.42,88.60,181.90,3162.74,88.98,90.30,93.41,95.47,102.93,107.83,113.94,123.33,165.21,16.61
Prefill Throughput Per User (tokens/sec/user),1499.57,1399.51,1610.25,44987.16,1401.97,1414.15,1424.19,1469.21,1498.29,1548.39,1576.28,1581.64,1602.55,56.06
Request Latency (ms),5275.16,3157.93,6104.81,158254.88,3538.10,4488.46,4839.41,5073.61,5306.69,5692.63,5811.20,6006.18,6081.12,563.95
Time to First Output Token (ms),341.91,317.96,365.84,10257.25,319.51,323.72,324.82,330.70,341.72,348.49,359.50,362.06,365.20,12.78
Time to First Token (ms),341.91,317.96,365.84,10257.25,319.51,323.72,324.82,330.70,341.72,348.49,359.50,362.06,365.20,12.78
Time to Second Token (ms),30.24,28.12,34.34,907.10,28.13,28.17,28.24,28.84,29.75,31.57,32.50,32.63,33.86,1.67

Metric,Value
Benchmark Duration (sec),158.37
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),96.99
Request Count,30.00
Request Throughput (requests/sec),0.19
Total Input Sequence Length (tokens),15360.00
Total Output Sequence Length (tokens),15360.00
Total Output Tokens (tokens),15360.00
Total Token Throughput (tokens/sec),193.98


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
