Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),520.87,504.99,543.00,1562.62,505.19,505.96,506.92,509.81,514.62,528.81,537.33,540.17,542.44,16.14
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,36135.33,35975.00,36279.00,108406.00,35978.54,35992.70,36010.40,36063.50,36152.00,36215.50,36253.60,36266.30,36276.46,124.67
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.32,0.30,0.34,0.97,0.30,0.31,0.31,0.31,0.32,0.33,0.34,0.34,0.34,0.02
HTTP Connection Overhead (ms),0.32,0.30,0.34,0.97,0.30,0.31,0.31,0.31,0.32,0.33,0.34,0.34,0.34,0.02
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),9166.96,9139.05,9183.87,27500.89,9139.83,9142.94,9146.84,9158.51,9177.97,9180.92,9182.69,9183.28,9183.75,19.88
HTTP Data Sent (KB),156.11,153.58,158.42,468.34,153.63,153.85,154.13,154.96,156.34,157.38,158.00,158.21,158.38,1.98
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),70840.90,67889.20,72999.48,212522.70,67964.10,68263.68,68638.17,69761.61,71634.02,72316.75,72726.39,72862.93,72972.17,2160.33
HTTP Receiving (ms),55736.21,52467.39,57706.70,167208.63,52558.73,52924.10,53380.82,54750.96,57034.54,57370.62,57572.27,57639.49,57693.26,2327.64
HTTP Sending (ms),0.48,0.45,0.51,1.44,0.45,0.46,0.46,0.47,0.48,0.49,0.50,0.50,0.51,0.02
HTTP Total Time (ms),70841.22,67889.52,72999.82,212523.67,67964.42,68264.00,68638.48,69761.92,71634.33,72317.07,72726.72,72863.27,72972.51,2160.33
HTTP Waiting (TTFB) (ms),15104.21,14598.98,15421.36,45312.63,14612.84,14668.31,14737.64,14945.64,15292.30,15356.83,15395.55,15408.45,15418.78,361.12
Input Sequence Length (tokens),36864.00,36864.00,36864.00,110592.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,0.00
Inter Chunk Latency (ms),1.51,0.00,112.57,167207.26,0.00,0.03,0.04,0.09,0.18,0.27,0.35,0.39,53.46,7.94
Inter Token Latency (ms),1.51,1.42,1.57,4.54,1.43,1.44,1.45,1.49,1.55,1.56,1.56,1.56,1.57,0.06
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),36864.00,36864.00,36864.00,110592.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,0.00
Output Token Count (tokens),36864.00,36864.00,36864.00,110592.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,0.00
Output Token Throughput Per User (tokens/sec/user),662.58,638.81,702.59,1987.73,638.96,639.56,640.31,642.57,646.33,674.46,691.34,696.97,701.47,28.46
Prefill Throughput Per User (tokens/sec/user),2441.97,2390.37,2525.01,7325.92,2390.78,2392.39,2394.41,2400.46,2410.54,2467.78,2502.12,2513.56,2522.72,59.29
Request Latency (ms),70840.50,67888.89,72998.97,212521.50,67963.78,68263.36,68637.84,69761.26,71633.64,72316.31,72725.91,72862.44,72971.67,2160.26
Time to First Output Token (ms),15104.75,14599.54,15421.87,45314.24,14613.41,14668.87,14738.20,14946.19,15292.83,15357.35,15396.06,15408.96,15419.28,361.10
Time to First Token (ms),15104.75,14599.54,15421.87,45314.24,14613.41,14668.87,14738.20,14946.19,15292.83,15357.35,15396.06,15408.96,15419.28,361.10
Time to Second Token (ms),33.79,32.16,34.83,101.38,32.20,32.38,32.61,33.28,34.40,34.61,34.74,34.78,34.82,1.17

Metric,Value
Benchmark Duration (sec),212.94
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),519.35
Request Count,3.00
Request Throughput (requests/sec),0.01
Total Input Sequence Length (tokens),110592.00
Total Output Sequence Length (tokens),110592.00
Total Output Tokens (tokens),110592.00
Total Token Throughput (tokens/sec),1038.69


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
