Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),198.63,143.36,306.27,1986.34,145.54,154.28,165.19,173.40,197.08,207.18,222.67,264.47,297.91,41.41
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,3380.90,1992.00,3963.00,33809.00,2010.81,2086.05,2180.10,3261.75,3640.50,3934.50,3945.00,3954.00,3961.20,695.98
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.25,0.22,0.33,2.48,0.23,0.23,0.23,0.23,0.23,0.25,0.27,0.30,0.33,0.03
HTTP Connection Overhead (ms),0.25,0.22,0.33,2.48,0.23,0.23,0.23,0.23,0.23,0.25,0.27,0.30,0.33,0.03
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),908.64,524.34,1001.01,9086.39,529.97,552.49,580.64,990.76,997.08,998.63,1000.38,1000.69,1000.94,177.09
HTTP Data Sent (KB),17.61,16.33,18.89,176.05,16.35,16.45,16.58,17.17,17.72,18.01,18.48,18.68,18.85,0.75
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),21378.15,13373.89,28571.29,213781.52,13897.84,15993.63,18613.38,19766.32,20785.38,23611.11,24849.94,26710.62,28199.16,3801.76
HTTP Receiving (ms),19793.96,11748.61,27005.93,197939.59,12281.96,14415.34,17082.07,18215.02,19217.99,22000.99,23280.12,25143.02,26633.35,3806.49
HTTP Sending (ms),0.35,0.33,0.45,3.53,0.33,0.33,0.33,0.33,0.34,0.36,0.38,0.42,0.45,0.04
HTTP Total Time (ms),21378.40,13374.12,28571.52,213784.01,13898.06,15993.86,18613.61,19766.57,20785.62,23611.39,24850.17,26710.85,28199.39,3801.77
HTTP Waiting (TTFB) (ms),1583.84,1516.89,1661.31,15838.40,1517.22,1518.53,1520.16,1564.21,1570.08,1616.85,1653.88,1657.60,1660.57,47.09
Input Sequence Length (tokens),4096.00,4096.00,4096.00,40960.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,0.00
Inter Chunk Latency (ms),5.31,0.00,79.10,197938.20,0.00,0.00,0.01,0.03,0.04,0.08,26.86,27.81,31.17,10.95
Inter Token Latency (ms),4.83,2.87,6.59,48.35,3.00,3.52,4.17,4.45,4.69,5.38,5.68,6.14,6.50,0.93
OSL Mismatch Diff % (%),-0.02,-0.10,0.00,-0.22,-0.10,-0.09,-0.08,-0.04,0.00,0.00,0.00,0.00,0.00,0.04
Output Sequence Length (tokens),4095.10,4092.00,4096.00,40951.00,4092.09,4092.45,4092.90,4094.50,4096.00,4096.00,4096.00,4096.00,4096.00,1.45
Output Token Count (tokens),4095.10,4092.00,4096.00,40951.00,4092.09,4092.45,4092.90,4094.50,4096.00,4096.00,4096.00,4096.00,4096.00,1.45
Output Token Throughput Per User (tokens/sec/user),216.04,151.63,348.55,2160.36,154.11,163.99,176.34,186.05,213.11,224.76,243.38,295.96,338.04,50.15
Prefill Throughput Per User (tokens/sec/user),2587.73,2464.77,2699.51,25877.31,2465.89,2470.39,2476.00,2532.91,2608.15,2617.92,2693.76,2696.64,2698.93,76.40
Request Latency (ms),21378.06,13373.85,28571.18,213780.65,13897.80,15993.58,18613.31,19766.22,20785.32,23610.97,24849.83,26710.50,28199.04,3801.74
Time to First Output Token (ms),1584.24,1517.31,1661.82,15842.44,1517.64,1518.93,1520.55,1564.60,1570.46,1617.24,1654.28,1658.05,1661.07,47.11
Time to First Token (ms),1584.24,1517.31,1661.82,15842.44,1517.64,1518.93,1520.55,1564.60,1570.46,1617.24,1654.28,1658.05,1661.07,47.11
Time to Second Token (ms),29.40,28.59,30.94,294.00,28.60,28.63,28.67,28.72,29.04,30.08,30.52,30.73,30.90,0.81

Metric,Value
Benchmark Duration (sec),213.97
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),191.39
Request Count,10.00
Request Throughput (requests/sec),0.05
Total Input Sequence Length (tokens),40960.00
Total Output Sequence Length (tokens),40951.00
Total Output Tokens (tokens),40951.00
Total Token Throughput (tokens/sec),382.82


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
