Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),294.57,243.62,335.26,883.70,244.84,249.74,255.86,274.22,304.82,320.04,329.17,332.21,334.65,38.11
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,36570.00,36552.00,36592.00,109710.00,36552.28,36553.40,36554.80,36559.00,36566.00,36579.00,36586.80,36589.40,36591.48,16.57
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.44,0.36,0.59,1.32,0.36,0.36,0.36,0.36,0.37,0.48,0.55,0.57,0.59,0.11
HTTP Connection Overhead (ms),0.52,0.36,0.84,1.57,0.36,0.36,0.36,0.36,0.37,0.61,0.75,0.80,0.83,0.23
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),8950.95,8923.04,8967.86,26852.86,8923.82,8926.93,8930.82,8942.50,8961.96,8964.91,8966.68,8967.27,8967.74,19.88
HTTP Data Sent (KB),156.11,153.57,158.42,468.32,153.63,153.85,154.12,154.95,156.33,157.37,158.00,158.21,158.37,1.98
HTTP DNS Lookup (ms),0.08,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.12,0.20,0.22,0.24,0.12
HTTP Duration (excl. conn) (ms),127404.51,109957.56,151318.61,382213.52,110177.16,111055.54,112153.52,115447.46,120937.35,136127.98,145242.35,148280.48,150710.98,17493.85
HTTP Receiving (ms),112966.11,95509.27,136892.20,338898.34,95729.03,96608.03,97706.79,101003.07,106496.87,121694.53,130813.13,133852.66,136284.29,17502.86
HTTP Sending (ms),0.59,0.52,0.72,1.78,0.52,0.52,0.53,0.53,0.53,0.63,0.69,0.70,0.72,0.09
HTTP Total Time (ms),127405.03,109957.92,151319.45,382215.09,110177.51,111055.90,112153.88,115447.82,120937.72,136128.58,145243.10,148281.28,150711.82,17494.07
HTTP Waiting (TTFB) (ms),14437.80,14425.68,14447.76,43313.40,14425.97,14427.11,14428.54,14432.82,14439.96,14443.86,14446.20,14446.98,14447.60,9.14
Input Sequence Length (tokens),36864.00,36864.00,36864.00,110592.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,0.00
Inter Chunk Latency (ms),3.06,0.00,39.81,338896.81,0.01,0.03,0.05,0.11,0.19,0.31,13.47,28.80,30.12,8.64
Inter Token Latency (ms),3.06,2.59,3.71,9.19,2.60,2.62,2.65,2.74,2.89,3.30,3.55,3.63,3.70,0.47
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),36864.00,36864.00,36864.00,110592.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,0.00
Output Token Count (tokens),36864.00,36864.00,36864.00,110592.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,36864.00,0.00
Output Token Throughput Per User (tokens/sec/user),333.80,269.29,385.96,1001.39,270.82,276.97,284.66,307.71,346.14,366.05,378.00,381.98,385.17,48.43
Prefill Throughput Per User (tokens/sec/user),2553.18,2551.43,2555.30,7659.55,2551.46,2551.57,2551.71,2552.12,2552.81,2554.06,2554.81,2555.06,2555.25,1.60
Request Latency (ms),127404.06,109957.16,151318.01,382212.18,110176.76,111055.14,112153.13,115447.08,120937.01,136127.51,145241.81,148279.91,150710.39,17493.75
Time to First Output Token (ms),14438.46,14426.46,14448.36,43315.37,14426.74,14427.87,14429.28,14433.51,14440.55,14444.46,14446.80,14447.58,14448.20,9.06
Time to First Token (ms),14438.46,14426.46,14448.36,43315.37,14426.74,14427.87,14429.28,14433.51,14440.55,14444.46,14446.80,14447.58,14448.20,9.06
Time to Second Token (ms),30.93,30.71,31.14,92.79,30.71,30.73,30.76,30.83,30.94,31.04,31.10,31.12,31.13,0.18

Metric,Value
Benchmark Duration (sec),382.63
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),289.03
Request Count,3.00
Request Throughput (requests/sec),0.01
Total Input Sequence Length (tokens),110592.00
Total Output Sequence Length (tokens),110592.00
Total Output Tokens (tokens),110592.00
Total Token Throughput (tokens/sec),578.07


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
